Team,Date,Game,Season,Round,ELO,ELO_pre,ELO_change,Updated
Brisbane Lions,2025-04-26,16679,2025,7,1542.27546100094,1534.68552065353,7.589940347409993,2025-05-04T11:14:41Z
Footscray,2025-05-03,16687,2025,8,1539.56265461955,1531.05443092325,8.508223696299865,2025-05-04T11:14:41Z
Hawthorn,2025-05-04,16692,2025,8,1536.73603468592,1531.43642886081,5.299605825109893,2025-05-04T11:14:41Z
Collingwood,2025-05-03,16689,2025,8,1536.01140361593,1537.31187049395,-1.3004668780199609,2025-05-04T11:14:41Z
Geelong,2025-05-03,16689,2025,8,1535.56198288866,1534.26151601064,1.3004668780199609,2025-05-04T11:14:41Z
Adelaide,2025-05-03,16688,2025,8,1521.96405448687,1515.096710631,6.867343855870104,2025-05-04T11:14:41Z
GWS,2025-05-04,16691,2025,8,1520.14740968606,1522.40319434615,-2.2557846600900575,2025-05-04T11:14:41Z
Gold Coast,2025-04-27,16682,2025,7,1518.32683995327,1513.30476698586,5.022072967410168,2025-05-04T11:14:41Z
Sydney,2025-05-04,16691,2025,8,1517.37894014044,1515.12315548035,2.25578466008983,2025-05-04T11:14:41Z
Carlton,2025-05-03,16688,2025,8,1512.31636100464,1519.18370486051,-6.867343855870104,2025-05-04T11:14:41Z
Fremantle,2025-05-02,16686,2025,8,1507.58084006158,1515.22549948629,-7.644659424709971,2025-05-04T11:14:41Z
Port Adelaide,2025-05-03,16687,2025,8,1498.56678658032,1507.07501027662,-8.508223696300092,2025-05-04T11:14:41Z
St Kilda,2025-05-02,16686,2025,8,1494.71655235234,1487.07189292763,7.644659424709971,2025-05-04T11:14:41Z
Melbourne,2025-05-03,16690,2025,8,1481.71828480258,1476.33815707717,5.3801277254099205,2025-05-04T11:14:41Z
Essendon,2025-05-01,16685,2025,8,1476.80796911504,1478.23228203067,-1.4243129156300256,2025-05-04T11:14:41Z
North Melbourne,2025-05-01,16685,2025,8,1427.88926277412,1426.46494985849,1.4243129156300256,2025-05-04T11:14:41Z
Richmond,2025-05-04,16692,2025,8,1425.83902388436,1431.13862970947,-5.29960582511012,2025-05-04T11:14:41Z
West Coast,2025-05-03,16690,2025,8,1406.60013867656,1411.98026640197,-5.380127725410148,2025-05-04T11:14:41Z
